VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Artery_Tibial	COVAR	17345	-0.0075764	-0.0156	0.0065464	0.87642	Artery_Tibial	f884	Moderate physical activity frequency	1	FALSE	Artery Tibial
Bladder	COVAR	17345	-0.013162	-0.025656	0.0085696	0.93771	Bladder	f884	Moderate physical activity frequency	1	FALSE	Bladder
Brain_Amygdala	COVAR	17345	0.013855	0.023601	0.0051528	0.0035879	Brain_Amygdala	f884	Moderate physical activity frequency	0.0932854	FALSE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17345	0.01447	0.025559	0.0047392	0.0011336	Brain_Anterior_cingulate_cortex_BA24	f884	Moderate physical activity frequency	0.0294736	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17345	0.012966	0.022395	0.0051497	0.005908	Brain_Caudate_basal_ganglia	f884	Moderate physical activity frequency	0.153608	FALSE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17345	0.016259	0.032625	0.0039829	2.2396e-05	Brain_Cerebellar_Hemisphere	f884	Moderate physical activity frequency	0.000582296	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17345	0.016348	0.032451	0.0041078	3.463e-05	Brain_Cerebellum	f884	Moderate physical activity frequency	0.00090038	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17345	0.015778	0.028772	0.0046792	0.00037408	Brain_Cortex	f884	Moderate physical activity frequency	0.00972608	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17345	0.015289	0.028172	0.0045191	0.00035894	Brain_Frontal_Cortex_BA9	f884	Moderate physical activity frequency	0.00933244	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17345	0.013958	0.023634	0.0052314	0.0038179	Brain_Hippocampus	f884	Moderate physical activity frequency	0.0992654	FALSE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17345	0.013492	0.023221	0.0053068	0.0055102	Brain_Hypothalamus	f884	Moderate physical activity frequency	0.1432652	FALSE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17345	0.015437	0.026781	0.0049715	0.00095292	Brain_Nucleus_accumbens_basal_ganglia	f884	Moderate physical activity frequency	0.02477592	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17345	0.01217	0.020706	0.0051932	0.0095593	Brain_Putamen_basal_ganglia	f884	Moderate physical activity frequency	0.2485418	FALSE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17345	0.0081634	0.014673	0.0056386	0.07385	Brain_Spinal_cord_cervical_c-1	f884	Moderate physical activity frequency	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17345	0.0097968	0.016862	0.0056167	0.040569	Brain_Substantia_nigra	f884	Moderate physical activity frequency	1	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17345	-0.025708	-0.049437	0.0082531	0.99908	Breast_Mammary_Tissue	f884	Moderate physical activity frequency	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17345	0.0044591	0.0095546	0.004254	0.14728	Cells_Cultured_fibroblasts	f884	Moderate physical activity frequency	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17345	0.0052999	0.011565	0.0031948	0.048576	Cells_EBV-transformed_lymphocytes	f884	Moderate physical activity frequency	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17345	-0.011754	-0.023038	0.0079318	0.9308	Cervix_Ectocervix	f884	Moderate physical activity frequency	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17345	-0.0065799	-0.013026	0.0075783	0.80737	Cervix_Endocervix	f884	Moderate physical activity frequency	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17345	-0.00075962	-0.0014861	0.0082337	0.53675	Colon_Sigmoid	f884	Moderate physical activity frequency	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17345	-0.010766	-0.019796	0.0076029	0.92161	Colon_Transverse	f884	Moderate physical activity frequency	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17345	-0.016309	-0.032107	0.0084435	0.97328	Esophagus_Gastroesophageal_Junction	f884	Moderate physical activity frequency	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17345	-0.0084534	-0.016343	0.0050047	0.95439	Esophagus_Mucosa	f884	Moderate physical activity frequency	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17345	-0.012182	-0.024031	0.0081591	0.93229	Esophagus_Muscularis	f884	Moderate physical activity frequency	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17345	-0.0088444	-0.017158	0.0077917	0.87182	Fallopian_Tube	f884	Moderate physical activity frequency	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17345	-0.011983	-0.021514	0.0062208	0.97296	Heart_Atrial_Appendage	f884	Moderate physical activity frequency	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17345	-0.0093426	-0.015595	0.0058911	0.94361	Heart_Left_Ventricle	f884	Moderate physical activity frequency	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17345	-0.014761	-0.02594	0.0058932	0.99387	Kidney_Cortex	f884	Moderate physical activity frequency	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17345	-0.016304	-0.030153	0.0060811	0.99633	Kidney_Medulla	f884	Moderate physical activity frequency	1	FALSE	Kidney Medulla
Liver	COVAR	17345	-0.0060105	-0.010823	0.0041205	0.92766	Liver	f884	Moderate physical activity frequency	1	FALSE	Liver
