VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Heart	COVAR	17355	-0.0052079	-0.0089629	0.0063159	0.79518	f943	Stair climbing frequency	1	FALSE	Heart
Kidney	COVAR	17355	0.0069376	0.012212	0.00622	0.13236	f943	Stair climbing frequency	1	FALSE	Kidney
Liver	COVAR	17355	-0.0017288	-0.0031132	0.0042787	0.65691	f943	Stair climbing frequency	1	FALSE	Liver
Lung	COVAR	17355	-0.013419	-0.025961	0.0069689	0.97291	f943	Stair climbing frequency	1	FALSE	Lung
Muscle	COVAR	17355	0.0043146	0.0081609	0.0045198	0.1699	f943	Stair climbing frequency	1	FALSE	Muscle
Nerve	COVAR	17355	-0.00092216	-0.0018572	0.0068704	0.55339	f943	Stair climbing frequency	1	FALSE	Nerve
Ovary	COVAR	17355	-0.010201	-0.02069	0.0067611	0.93432	f943	Stair climbing frequency	1	FALSE	Ovary
Pancreas	COVAR	17355	0.011653	0.019488	0.0057581	0.021508	f943	Stair climbing frequency	0.559208	FALSE	Pancreas
Pituitary	COVAR	17355	0.024185	0.045105	0.0054793	5.1103e-06	f943	Stair climbing frequency	0.0001328678	TRUE	Pituitary
Prostate	COVAR	17355	-0.0079355	-0.015063	0.0090774	0.80899	f943	Stair climbing frequency	1	FALSE	Prostate
Salivary_Gland	COVAR	17355	-0.0088829	-0.016541	0.0071342	0.89345	f943	Stair climbing frequency	1	FALSE	Salivary Gland
Skin	COVAR	17355	0.0014925	0.0028478	0.0066166	0.41077	f943	Stair climbing frequency	1	FALSE	Skin
Small_Intestine	COVAR	17355	-0.011498	-0.021158	0.0071112	0.94704	f943	Stair climbing frequency	1	FALSE	Small Intestine
Spleen	COVAR	17355	0.0062207	0.012334	0.0052139	0.11642	f943	Stair climbing frequency	1	FALSE	Spleen
Stomach	COVAR	17355	0.0011381	0.0020684	0.0089573	0.44945	f943	Stair climbing frequency	1	FALSE	Stomach
Testis	COVAR	17355	0.0050913	0.0087941	0.0036605	0.082139	f943	Stair climbing frequency	1	FALSE	Testis
Thyroid	COVAR	17355	-0.0030583	-0.0060592	0.0071555	0.66546	f943	Stair climbing frequency	1	FALSE	Thyroid
Uterus	COVAR	17355	-0.015531	-0.031658	0.0079525	0.97458	f943	Stair climbing frequency	1	FALSE	Uterus
Vagina	COVAR	17355	-0.013641	-0.026101	0.00833	0.94923	f943	Stair climbing frequency	1	FALSE	Vagina
Adipose_Tissue	COVAR	17345	-0.020695	-0.040641	0.010324	0.97749	f1070	Time watching TV	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17345	0.00094212	0.001819	0.0079896	0.45307	f1070	Time watching TV	1	FALSE	Adrenal Gland
Bladder	COVAR	17345	-0.016619	-0.032405	0.01254	0.90744	f1070	Time watching TV	1	FALSE	Bladder
Blood	COVAR	17345	-0.0048825	-0.0087714	0.0047873	0.8461	f1070	Time watching TV	1	FALSE	Blood
Blood_Vessel	COVAR	17345	-0.010549	-0.02141	0.0090956	0.87692	f1070	Time watching TV	1	FALSE	Blood Vessel
Brain	COVAR	17345	0.032781	0.05694	0.0052756	2.6504e-10	f1070	Time watching TV	6.89104e-09	TRUE	Brain
Breast	COVAR	17345	-0.014409	-0.027719	0.012287	0.87954	f1070	Time watching TV	1	FALSE	Breast
Cervix_Uteri	COVAR	17345	0.0029481	0.0057939	0.010944	0.39382	f1070	Time watching TV	1	FALSE	Cervix Uteri
Colon	COVAR	17345	-0.013916	-0.026062	0.012193	0.87311	f1070	Time watching TV	1	FALSE	Colon
Esophagus	COVAR	17345	0.0013979	0.0026346	0.013239	0.45795	f1070	Time watching TV	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17345	-0.0011563	-0.002244	0.010709	0.54299	f1070	Time watching TV	1	FALSE	Fallopian Tube
Heart	COVAR	17345	-0.013902	-0.023926	0.0073183	0.97125	f1070	Time watching TV	1	FALSE	Heart
Kidney	COVAR	17345	-0.018256	-0.032136	0.0072809	0.99391	f1070	Time watching TV	1	FALSE	Kidney
Liver	COVAR	17345	-0.01156	-0.020819	0.0050098	0.98948	f1070	Time watching TV	1	FALSE	Liver
Lung	COVAR	17345	-0.017662	-0.034161	0.0081229	0.98515	f1070	Time watching TV	1	FALSE	Lung
Muscle	COVAR	17345	-0.0077175	-0.0146	0.0052399	0.92959	f1070	Time watching TV	1	FALSE	Muscle
Nerve	COVAR	17345	0.0018829	0.0037909	0.008011	0.40709	f1070	Time watching TV	1	FALSE	Nerve
Ovary	COVAR	17345	0.0074689	0.015144	0.0078681	0.17125	f1070	Time watching TV	1	FALSE	Ovary
Pancreas	COVAR	17345	0.00064682	0.0010818	0.0067149	0.46163	f1070	Time watching TV	1	FALSE	Pancreas
Pituitary	COVAR	17345	0.029855	0.055669	0.0064165	1.6492e-06	f1070	Time watching TV	4.28792e-05	TRUE	Pituitary
Prostate	COVAR	17345	0.001169	0.0022187	0.010796	0.45689	f1070	Time watching TV	1	FALSE	Prostate
Salivary_Gland	COVAR	17345	-0.0047584	-0.0088598	0.0084211	0.71398	f1070	Time watching TV	1	FALSE	Salivary Gland
Skin	COVAR	17345	0.0078263	0.014933	0.0077707	0.15694	f1070	Time watching TV	1	FALSE	Skin
Small_Intestine	COVAR	17345	-0.011233	-0.020669	0.0083323	0.91119	f1070	Time watching TV	1	FALSE	Small Intestine
Spleen	COVAR	17345	-0.006438	-0.012763	0.0060846	0.85498	f1070	Time watching TV	1	FALSE	Spleen
Stomach	COVAR	17345	-0.0028901	-0.0052526	0.010513	0.6083	f1070	Time watching TV	1	FALSE	Stomach
Testis	COVAR	17345	0.0079075	0.013653	0.004247	0.031318	f1070	Time watching TV	0.814268	FALSE	Testis
Thyroid	COVAR	17345	0.011653	0.023083	0.0083832	0.082263	f1070	Time watching TV	1	FALSE	Thyroid
Uterus	COVAR	17345	0.0014656	0.0029868	0.0092823	0.43727	f1070	Time watching TV	1	FALSE	Uterus
Vagina	COVAR	17345	0.00089945	0.0017209	0.0097341	0.46319	f1070	Time watching TV	1	FALSE	Vagina
Adipose_Tissue	COVAR	17346	-0.038328	-0.075265	0.009271	0.99998	f1110	Time using phone	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17346	0.013115	0.025319	0.0070425	0.031291	f1110	Time using phone	0.813566	FALSE	Adrenal Gland
Bladder	COVAR	17346	-0.022906	-0.044659	0.01108	0.98064	f1110	Time using phone	1	FALSE	Bladder
Blood	COVAR	17346	-0.0059095	-0.010614	0.0042189	0.91934	f1110	Time using phone	1	FALSE	Blood
Blood_Vessel	COVAR	17346	-0.0014902	-0.0030241	0.0081165	0.57283	f1110	Time using phone	1	FALSE	Blood Vessel
Brain	COVAR	17346	0.02387	0.041461	0.0047202	2.153e-07	f1110	Time using phone	5.5978e-06	TRUE	Brain
Breast	COVAR	17346	-0.039207	-0.075411	0.01095	0.99983	f1110	Time using phone	1	FALSE	Breast
Cervix_Uteri	COVAR	17346	0.0089821	0.017649	0.0097751	0.17909	f1110	Time using phone	1	FALSE	Cervix Uteri
